uuid	value1	value2	value3
8cf62be1-7a2d-4d21-86f3-d8f7d7310f2b	-0.04245283 	-0.01477832 	0.01500000
0a653fdd-3eb8-4b38-8792-7d99a1d8aa62	-0.02254098 	0.01677149 	-0.01649485
b2eb448d-b5e6-47f1-82e6-5fe79e51d907	-0.00829876 	-0.00418410 	0.00420168
fb69261b-3fdb-4022-a5c5-72f6e78ea76c	-0.00434783 	0.00000000 	0.00000000
c2bec1ec-adde-4e90-828d-961bf710e150	-0.17454545 	-0.02202643 	0.02252252
02a2a960-c173-4db0-b482-b5e9d3d21060	0.00000000 	-0.01282051 	0.01298701
f7e50acd-f0ea-475c-9f8b-9b540d03fe0b	0.00440529 	0.00438596 	-0.00436681
433edd6d-1e26-414a-a0d6-257d6d2adc0f	0.00000000 	0.01127820 	-0.01115242
e0906dbc-b57b-4443-aa21-9b99f7ba6c22	0.00401606 	-0.00400000 	0.00401606
2c16f3ee-f5f4-47c7-b0bb-b3ecaa3d5afb	0.02000000 	0.02745098 	-0.02671756
df25a8a4-3183-41a9-be8b-a0aac6150884	-0.01792115 	-0.01459854 	0.01481481
4313bb44-6dab-419e-ac29-0abec66fbcba	-0.00738007 	-0.00743494 	0.00749064
afe6b4e7-d5f7-409f-b4f0-39e68d8836f9	-0.04912281 	-0.00738007 	0.00743494
e21fd3d4-1a5c-4cf3-ac5f-cdd3460f9f65	-0.00325733 	-0.01633987 	0.01661130
3af6df59-4792-4b17-9420-57c5aee4149c	0.00265252 	0.00793651 	-0.00787402
47c4ac1e-114f-45a9-b5a3-06b23a652359	0.01145038 	0.00603774 	-0.00600150
a357834c-637a-4b83-b5df-116a8e4e0983	0.01983003 	-0.00277778 	0.00278552
54fe81e4-0838-4d02-b5c1-6d78270fd037	-0.03439153 	0.01369863 	-0.01351351
314cb74d-b0eb-426f-93e8-7c4b1098ad5a	0.00273973 	0.03278689 	-0.03174603
46c6674b-9029-497e-8cd2-a3bc67c972aa	0.00547945 	0.01362398 	-0.01344086
e6c7226a-2837-4af9-8f8d-dd898a5384ca	0.00294118 	0.01466276 	-0.01445087
79fc57eb-cba9-4c81-88a5-bf6757ca2c3d	0.02137767 	-0.00813953 	0.00820633
bd85ed68-1eab-40d1-8d99-50388aaadd14	0.09968847 	0.02832861 	-0.02754821
9172fb3f-c99d-4095-b57a-7385f32c1524	0.00857143 	-0.00849858 	0.00857143
f9bf3310-c418-4d65-bab6-d43d73a1507b	0.00583090 	-0.00289855 	0.00290698
